question,document
Can I still join the course if I found it late?,74eb249bbf
Is it okay to start the course after it already began?,74eb249bbf
"If I join now, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate?,74eb249bbf
Do I have to submit my project before submissions close to receive the certificate?,74eb249bbf
"Do I actually need a confirmation email after registering, or am I already in?",977bf7786c
I signed up for the LLM Zoomcamp — should I be waiting for an acceptance email?,977bf7786c
Can I start the course and hand in homework without doing the registration first?,977bf7786c
Is there some list of registered students that homework submissions get checked against?,977bf7786c
What is the point of the registration form if I can begin studying without it?,977bf7786c
How do students join the Office Hours or live workshop sessions if they don’t get the Zoom link?,489dd1c9d9
Where is the livestream announcement posted before an Office Hours session starts?,489dd1c9d9
"Can I watch the workshop live on YouTube instead of joining Zoom, and where should I send questions?",489dd1c9d9
"Why isn’t the Zoom link shared with students for live sessions, and what should I use instead?",489dd1c9d9
"If I want to ask a question during Office Hours, should I use the chat or Slido?",489dd1c9d9
Where should I begin if I want to follow the LLM Zoomcamp from scratch?,04919992b3
What’s the usual week-by-week routine for this course after I watch the videos?,04919992b3
"Do I need to start the course on a fixed date, or can I jump in whenever I’m ready?",04919992b3
"After finishing a lesson, what’s the best order for going through notebooks, homework, and submission?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3
I can’t find myself on the leaderboard — how do I locate my own row?,c2903069a0
"When I created the account, what name shows up by default on the leaderboard?",c2903069a0
How do I check what my display name is for the course?,c2903069a0
Can I change the nickname shown in the leaderboard or should I keep the auto-generated one?,c2903069a0
"What name will appear on my certificate, and how do I make sure it’s not the random default one?",c2903069a0
Can I do the course on my own schedule and still get the certificate?,69d122f12e
"If I take the self-paced version, will I be able to earn a certificate at the end?",69d122f12e
Do certificates get issued for people who are not in a live cohort?,69d122f12e
Why isn’t there a certificate for the self-paced mode of the course?,69d122f12e
Is peer-review of the capstone project only possible while the course is running?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to do every homework to earn the course certificate?,9f689c185f
What do I need to pass for the certificate if homework is optional?,9f689c185f
"If I miss a homework assignment, will it block me from getting certified?",9f689c185f
Does the final project matter more than homework for the certificate?,9f689c185f
Why does the homework content keep changing before it's officially out?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready to do?,96286b4be4
Is it safe to start working on homework when the form is already open?,96286b4be4
Can the homework still change after it shows up on the course platform?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know when the course will be offered again?,bd31146b0e
What term is the next offering of this course?,bd31146b0e
Is there a date for the next course session?,bd31146b0e
When should I expect the next course start?,bd31146b0e
Where can I find the course videos?,31456f4b5f
Is there a place in the GitHub repo that links to each lesson video?,31456f4b5f
"Do I need to use the YouTube playlist, or should I start from the repo?",31456f4b5f
How do I get to the lecture videos for a specific lesson?,31456f4b5f
What’s the best starting point if I’m looking for all the course materials and videos?,31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and all the homework deadlines?,20c5a1347e
Is there one place where I can see the current cohort structure and my progress in LLM Zoomcamp?,20c5a1347e
"Where should I go to check homework, deadlines, and course progress for this Zoomcamp?",20c5a1347e
What’s the platform for managing the LLM Zoomcamp schedule and course updates?,20c5a1347e
"In LLM Zoomcamp, where can I follow the syllabus and see what’s due next?",20c5a1347e
"Do we get live sessions or office hours for every module in the course, or is everything just pre-recorded?",d65e05bd7a
"If there aren’t module-by-module live classes, how are live sessions announced and when do they happen?",d65e05bd7a
