question,answer_agent,answer_orig,tool_calls,cost,document
Can I still join the course if I found it late?,"Yes — you can still join even if you discovered the course late.

According to the FAQ, you can start learning and submitting homework while the submission form is still open, and if you want a certificate, you need to submit your project while submissions are still being accepted.

If you want, I can also explain what that means for homework deadlines and certificates.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join course late found it late late registration enroll after start""}'}]",0.00119325,74eb249bbf
Is it okay to start the course after it already began?,"Yes — you can start the course whenever you want. The videos and GitHub materials are available, so you can join after the course has already begun.

One caveat: if you want a certificate, you need to complete the course with the live cohort and submit the project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""start course after it already began late join after course start okay""}'}]",0.0011535,74eb249bbf
"If I join now, can I still get a certificate?","Yes — you can still join now, but to get a certificate you need to submit your project while submissions are still open. Also, certificates are only awarded for the live cohort, not self-paced participation.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join now still get a certificate certificate eligibility enrollment timing FAQ""}'}]",0.00096525,74eb249bbf
What do I need to do to be eligible for the certificate?,"To be eligible for the certificate, you need to:

- **Finish the course with a live cohort** — certificates are **not** awarded for self-paced mode.
- **Submit your capstone project** while submissions are still open.
- **Peer-review 3 capstone projects** after you submit your own project, since that’s required for certificate eligibility.

Also, **homework is not mandatory** for the certificate, though it can help with your progress and leaderboard ranking.

If you want, I can also explain the capstone submission/peer-review process.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate eligibility requirements""}'}]",0.00128625,74eb249bbf
Do I have to submit my project before submissions close to receive the certificate?,"Yes — if you want to receive the certificate, you need to submit your project while submissions are still open. Once the submission form closes, you can no longer submit, and certificates aren’t awarded for self-paced/closed-course submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate submission deadline project before submissions close receive certificate""}'}]",0.001014,74eb249bbf
"Do I actually need a confirmation email after registering, or am I already in?","You’re already in — you don’t need to wait for a confirmation email.

The FAQ says:
- **“You don't need it. You're accepted.”**
- You can **start learning and submitting homework** while the form is open.
- Registration is just to **gauge interest**, not to verify access against a list.

",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""confirmation email after registering already in registration confirmation email required""}'}]",0.0011355,977bf7786c
I signed up for the LLM Zoomcamp — should I be waiting for an acceptance email?,"No — you don’t need to wait for an acceptance email. You’re already accepted.

You can start learning and submit homework as soon as the form is open, and registration is only used to gauge interest before the course starts.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp acceptance email signed up waiting for acceptance email""}'}]",0.0010905,977bf7786c
Can I start the course and hand in homework without doing the registration first?,"Yes — you can start learning and submit homework without registering first. Registration is only used to gauge interest, and homework submission is not checked against a registered list.

Just make sure the homework form is open on the course platform before submitting.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration homework start course without registration hand in homework""}'}]",0.001233,977bf7786c
Is there some list of registered students that homework submissions get checked against?,No — homework submissions are **not checked against a registered-students list**. You can start learning and submit homework while the form is open without registering. Registration is just to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered students homework submissions checked against list of registered students""}'}]",0.0010455,977bf7786c
What is the point of the registration form if I can begin studying without it?,"The registration form is mainly to gauge interest before the course start date. You can begin studying and even submit homework while the form is open without having registered, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration form begin studying without it point of the registration form""}'}]",0.001014,977bf7786c
How do students join the Office Hours or live workshop sessions if they don’t get the Zoom link?,"Students don’t use the Zoom link directly. The Zoom link is only for instructors/presenters/TAs.

For Office Hours or live/workshop sessions, students should:
- Join via **YouTube Live**
- Ask questions through **Slido** (the link is pinned in the live chat)
- Check the **announcements channel on Telegram and Slack** for the video URL before the session starts
- You can also watch on the **DataTalksClub YouTube channel**

Also, avoid posting questions in the chat, since they may be missed if it gets busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""students join Office Hours live workshop sessions don\'t get the Zoom link""}'}]",0.0014415,489dd1c9d9
